GID_3,road_km
BEN.12.7.3_1,0.0
BEN.12.7.4_1,0.0
BEN.12.7.5_1,2.69
BEN.12.7.6_1,3.86
BEN.12.7.7_1,0.0
BEN.12.7.8_1,0.0
BEN.12.8.1_1,1.8114901960784313
BEN.12.8.2_1,0.0
BEN.12.8.3_1,0.0
BEN.12.8.4_1,0.0
BEN.12.8.5_1,7.7481960784313735
BEN.12.8.6_1,4.268509803921569
BEN.12.9.1_1,0.0
BEN.12.9.2_1,2.31
BEN.12.9.3_1,3.253725490196078
BEN.12.9.4_1,0.05
BEN.12.9.5_1,4.22
BEN.12.9.6_1,1.99
BEN.12.9.7_1,0.0
BEN.12.9.8_1,4.94
BEN.12.9.9_1,0.0
BEN.12.9.10_1,9.662470588235294
BEN.12.9.11_1,0.4875294117647059
