GID_3,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
BEN.2.5.1_1,-0.17454885321647107,0.44487012705455226,0.045578810031270796,0.037063202156967616,0.03940127957402539,-0.5652239328011914,1.0504165443514164,0.06939370499178019,0.058671138467895824,0.10184421823643514
BEN.2.5.2_1,-0.4944783630974901,0.5024722155323529,0.03106870731752359,0.03708877212887823,0.03883454920891839,-0.5866982039362829,3.005190904454572,0.1221982989502749,0.07005903193898383,0.18206972706910793
BEN.2.5.3_1,-0.10764504989631296,0.28564417042625356,0.03703384396069469,0.036194022810463786,0.024585542181555498,-0.27306570713907213,0.9655950912496164,0.09019452289360586,0.06590619361145604,0.09695681148870079
BEN.2.5.4_1,-0.29370761310288107,0.21669039100864515,0.03557099132034444,0.03698736390742244,0.03585390211636773,-0.07444123069477168,1.6816253097592078,0.11854611343630893,0.08200061729109227,0.16395187321735843
BEN.2.5.5_1,-0.4944783630974901,0.2735458662375874,0.03905510993031012,0.03701512585591517,0.03389656661945644,-0.3098263444234839,3.005190904454572,0.07731321282783711,0.05509320231208032,0.13092201384001645
BEN.2.5.6_1,-0.17798419620209774,0.1706739648056793,0.031579497853425106,0.034060974118470574,0.02171448889371,-0.052048230366337864,1.1705749276803719,0.11342802135191972,0.08176103923494127,0.1028546589244584
BEN.2.6.1_1,-0.10885638583983694,0.40273681640004116,0.03907875258068425,0.037095522499150574,0.027067011916954063,-0.5345990397923049,0.8266655639759154,0.1038078831610071,0.08169077603150092,0.095578538410261
BEN.2.6.2_1,-0.24866303761345557,0.6564623829291945,0.032679072307491466,0.03696225067999953,0.048284139010513934,-0.4878868835644209,1.5631709488197452,0.12866357432539713,0.08530078290896492,0.17033727641970953
BEN.2.6.3_1,-0.1461467446843883,0.11533300754464497,0.03605803434517035,0.03617305635483992,0.01635375682762862,-0.07965468143118501,0.9570574899186058,0.05722605811038458,0.05036868609287076,0.07754621852604411
BEN.2.6.4_1,-0.01999136463910829,0.13586148748263008,0.04846761666001228,0.04059196830664742,0.031482650449357205,0.0654577839720462,3.6102892536492575,0.4538512262514876,0.2924744063278749,0.6118411804451968
BEN.2.6.5_1,-0.06679343306348615,0.4352764817387132,0.05296317534727368,0.03704309324962038,0.06018351890022609,-0.4583062826644718,5.2135243195863,0.16023800590811238,0.10672074525960214,0.4394010812634436
BEN.2.6.6_1,-0.20502007380127907,0.2882628059458165,0.047657539166970055,0.03990673619161716,0.0430179120227935,-0.001319373736069316,5.2135243195863,0.37279503268483477,0.14172943348771866,0.6632272432227053
BEN.2.6.7_1,-0.15670539512731402,0.14276550833961837,0.03419213880160226,0.03418538149817125,0.023181388153568065,-0.11432341351090665,1.0833424825215756,0.11798860329345714,0.08964026246424713,0.1000681499113388
BEN.2.6.8_1,-0.05590270198133242,0.09447177297746141,0.03635119459423037,0.037587439442699606,0.013783229289947222,-0.017377329354141175,0.5063706686528998,0.08782193436239864,0.06811381052759628,0.0647883956391909
