ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
BF500206,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
BF500207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500208,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.375,0.25,0.25,0.0,0.0,0.0,0.125
BF500209,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.14285714285714285
BF500210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500301,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
BF500302,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111
BF500303,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
BF500304,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
BF500305,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
BF500306,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625
BF500307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500404,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
BF500405,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
BF500403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF500406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510105,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
BF510106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510107,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
BF510201,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705
BF510202,10.0,3.0,0.0,3.0,4.0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0
BF510203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510303,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
BF510304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF510306,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
BF510307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF520101,27.0,4.0,2.0,0.0,0.0,0.0,21.0,0.32,0.12,0.04,0.0,0.0,0.0,0.32
BF520102,20.0,3.0,0.0,0.0,7.0,0.0,10.0,0.6153846153846154,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.6153846153846154
BF520103,17.0,4.0,1.0,0.0,0.0,0.0,12.0,0.5,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715
BF520104,9.0,2.0,2.0,0.0,0.0,0.0,5.0,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.21428571428571427
BF520105,32.0,6.0,4.0,0.0,0.0,0.0,22.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.6428571428571429
BF520106,9.0,2.0,1.0,0.0,0.0,0.0,6.0,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077
BF520107,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
BF520201,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
BF520202,51.0,18.0,2.0,2.0,18.0,0.0,11.0,0.8,0.6,0.2,0.2,0.2,0.0,0.4
BF520203,222.0,82.0,55.0,0.0,1.0,30.0,54.0,0.5,0.3611111111111111,0.3611111111111111,0.0,0.027777777777777776,0.3055555555555556,0.4166666666666667
BF520204,140.0,60.0,15.0,0.0,0.0,32.0,33.0,0.5111111111111111,0.24444444444444444,0.2,0.0,0.0,0.3111111111111111,0.2222222222222222
BF520205,7.0,1.0,1.0,0.0,2.0,0.0,3.0,0.625,0.125,0.125,0.0,0.125,0.0,0.375
BF520206,30.0,12.0,3.0,0.0,0.0,0.0,15.0,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.0,0.0,0.0,0.45454545454545453
BF520301,8.0,2.0,1.0,0.0,0.0,1.0,4.0,0.3,0.1,0.1,0.0,0.0,0.1,0.2
BF520302,104.0,40.0,25.0,0.0,0.0,27.0,12.0,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.0,0.0,0.4117647058823529,0.23529411764705882
BF520303,43.0,25.0,4.0,0.0,5.0,0.0,9.0,0.37037037037037035,0.37037037037037035,0.07407407407407407,0.0,0.037037037037037035,0.0,0.14814814814814814
