GID_3,young,elderly,working,dependency_ratio
BEN.7.6.5_1,4784.098436952748,249.60267913563123,4999.9433707979415,1.0067516255259208
BEN.7.6.6_1,5409.484638012478,297.70230555560113,5627.853122944678,1.0140966402090272
BEN.7.6.7_1,12848.929370970362,707.1202074566706,13367.611169461916,1.0140966404974137
BEN.8.1.1_1,23252.067177717974,1460.0882114286653,37835.889201179154,0.6531406003899728
BEN.8.1.2_1,13901.040394524733,1038.7131137009926,24332.603497637883,0.6139808882216825
BEN.8.1.3_1,13946.276782468254,1088.3000792763692,25362.811679798237,0.5927803688153326
BEN.8.1.4_1,42804.20312349258,3340.233261949787,77844.0696578526,0.5927803696320174
BEN.8.1.5_1,25558.39357717178,1952.907465292674,46141.069089482924,0.5962432510852939
BEN.8.1.6_1,13097.20200384017,686.6197761230314,17101.642158600313,0.8059940473629545
BEN.8.1.7_1,17467.74187336389,1019.0673954977999,24686.156343833318,0.7488735391356199
BEN.8.1.8_1,18505.98828454626,1444.1179404912332,33655.13980707445,0.5927803699345768
BEN.8.1.9_1,18131.619164598687,1414.9039790488928,32974.30913826461,0.5927803691560917
BEN.8.1.10_1,20282.376456540005,1239.9759586056439,29830.97297385645,0.7214767159625538
BEN.8.1.11_1,12543.683695165784,978.848485723722,22812.04451249721,0.592780369750787
BEN.8.1.12_1,12924.236700104737,983.5808859622945,22990.311404327436,0.6049425491230702
BEN.8.1.13_1,21662.114786511902,1117.1690849219576,28527.839184041066,0.7984931394375273
BEN.9.1.1_1,8534.717293592916,686.2409730196351,10632.385587900631,0.8672520565004483
BEN.9.1.2_1,8344.167723129478,617.2411729394165,10247.568948974005,0.8744912028102156
BEN.9.1.3_1,2866.507804420108,212.03224498499827,3519.670960910693,0.87466700256792
BEN.9.1.4_1,4566.740666663853,351.9338934727505,5605.032436136773,0.8775461366512203
BEN.9.2.1_1,5783.969305497569,503.85523605670545,6488.296275307472,0.9691025617131367
BEN.9.2.2_1,5476.178771269108,391.90006669852926,5991.771633055517,0.9793562233905097
BEN.9.2.3_1,8714.984981116086,759.4167242272117,9750.046908299224,0.9717288331483516
BEN.9.2.4_1,3782.42399014507,315.743640234828,4346.253426086843,0.9429196203291095
BEN.9.2.5_1,7623.383690364181,664.2954728162154,8528.798241017514,0.9717288331810332
BEN.9.2.6_1,3840.7699604774666,334.68157978131455,4296.930787616735,0.9717288331224596
BEN.9.2.7_1,5119.195654284266,442.6392357212218,5755.675863176964,0.9663217704089956
BEN.9.3.1_1,6292.772744499894,615.0853824771139,8863.684314798213,0.7793438802241762
BEN.9.3.2_1,3656.0448362971642,350.0457448501687,4974.877562003634,0.8052641559954047
BEN.9.3.3_1,10683.229572981572,1044.237868491071,15047.886377627137,0.7793431680151959
BEN.9.3.4_1,4176.025344704747,385.5384502133903,5312.2130141024445,0.8586936899571718
BEN.9.3.5_1,6752.044987468449,657.8727363510004,9225.857974238232,0.8031684147437006
BEN.9.4.1_1,4612.6680395780395,569.9770514572022,6843.668671501655,0.7572904738385081
BEN.9.4.2_1,3833.2869737112637,472.297501727453,5766.747734649436,0.7466226499849582
BEN.9.4.3_1,4969.503730885117,618.936503556168,7397.515634080202,0.7554482492332231
BEN.9.4.4_1,2152.417148130745,277.4070917583185,3227.3320557153756,0.7528894448856037
BEN.9.4.5_1,5586.479883497786,590.205776530225,7997.251485411984,0.7723510597728585
BEN.9.4.6_1,4123.450636411897,531.7608368034109,6182.41298472699,0.7529764648067874
BEN.9.4.7_1,1115.763444035237,137.85507478169984,1630.4247348779338,0.7688907632469109
BEN.9.5.1_1,2962.3575697492306,262.04275068637605,3455.335295499744,0.9331656828311543
BEN.9.5.2_1,10679.31472276302,953.0763859672613,12761.628344129698,0.9115130761570202
BEN.9.5.3_1,6915.515718333956,620.6926759955747,8390.306801593935,0.8982041506393844
BEN.9.5.4_1,8384.92698865886,741.2174343444347,10255.841369621683,0.8898484379872912
BEN.9.5.5_1,13700.019090490227,1230.3820880997516,16816.114775463975,0.8878627065732567
BEN.9.5.6_1,3757.9849235912457,337.68280285856684,4606.6432811608,0.8890785494938019
BEN.9.7.1_1,6075.294391791912,446.58200631069667,7470.741129102171,0.8729892102266437
BEN.9.7.2_1,6663.813987291494,472.4871966144479,8250.03457970659,0.8650025784691613
BEN.9.7.3_1,5356.128288609008,385.5282608815589,6611.69694341107,0.8684089120588706
BEN.9.7.4_1,4490.567661915243,335.2236423221627,5487.805096924542,0.8793663803661431
BEN.9.7.5_1,8538.48028947531,627.6483427908242,10480.35530220073,0.8746009431895284
BEN.9.7.6_1,22713.24226656677,1558.0786908363452,28567.09498386026,0.8496251008762298
BEN.10.1.1_1,4369.76737373296,270.85405956428565,5503.647168906182,0.8431902138485999
BEN.10.1.2_1,6834.801595105582,426.0376772159893,8788.259988826572,0.826197595605163
BEN.10.1.3_1,12807.8261873886,874.1379798591354,17648.966609231833,0.7752274946279838
BEN.10.1.4_1,14749.063174065534,918.4985226588362,18899.542031717883,0.828991605745288
BEN.10.1.5_1,12976.729202255545,822.034143970428,17223.162242842038,0.80117478728163
BEN.10.1.6_1,11856.313615853685,770.068044031693,15559.767796742697,0.8114762266907738
BEN.10.2.1_1,3694.6559359190787,316.14594498433667,4674.150057720305,0.8580815402532412
BEN.10.2.2_1,2764.764894482351,230.4375872839096,3478.013516967682,0.8611819554909718
BEN.10.2.3_1,933.1609702652651,78.58183107222615,1176.4811738239362,0.8599736433087211
BEN.10.2.4_1,8611.736642713804,736.8928710710622,10894.803208693844,0.8580815398597416
BEN.10.2.5_1,2985.3192390990016,255.44911040587027,3776.7603634038583,0.8580815401758993
BEN.10.2.6_1,4161.081818088428,317.7227103626146,5506.516472508883,0.813364411204677
BEN.10.2.7_1,4468.318624929668,381.98451019416433,5650.59690841125,0.8583700472252528
BEN.10.2.8_1,2309.742695378585,179.7014600068559,2986.579282108381,0.8335436364602427
BEN.10.3.1_1,10325.372153961423,525.0840129733779,12487.488472690577,0.8689062008476827
BEN.10.3.2_1,4051.95273508187,166.7849181585927,4771.95580098699,0.884068886884471
BEN.10.3.3_1,3044.975496052045,118.74537260312054,3574.5499279120613,0.8850683113840666
BEN.10.4.1_1,11629.845452739277,643.883307151131,14045.63826123355,0.873846281074056
BEN.10.4.2_1,5199.4188711060315,286.3033614216646,6271.126790540592,0.8747586224540054
BEN.10.4.3_1,4712.609465197357,302.0798841626547,5812.50527162037,0.8627414711938922
BEN.10.4.4_1,9473.2564300815,524.7028393696244,11443.37452809733,0.873689770871588
BEN.10.4.5_1,3524.6574929066,248.8141984646464,4399.020297633776,0.8577981996129886
BEN.10.5.1_1,17081.539412328482,1003.8945846979598,21109.38463775078,0.8567485176561479
BEN.10.5.2_1,9218.423977626653,571.3914135189614,11610.447115765048,0.8431902142556319
BEN.10.5.3_1,8470.96549532545,509.1064026570423,10551.435412942405,0.851075853335322
BEN.10.5.4_1,3546.3427041910154,219.9966881921953,4467.102315975959,0.8431280785563007
BEN.10.5.5_1,4300.836965909747,319.36469495270364,5542.945883302111,0.8335281920721276
BEN.10.5.6_1,6539.509628672985,405.07447418719534,8234.424297584446,0.8433600033092006
BEN.10.5.7_1,3293.5448224248257,207.72718493369612,4158.906660534571,0.8418731876296741
BEN.10.6.1_1,1635.2132277029368,127.99590173691475,2029.8530037839369,0.8686388256454911
BEN.10.6.2_1,4201.895097563572,314.29477162344114,5136.164299011649,0.8792923291133935
BEN.10.6.3_1,5209.047545854164,395.0578053423592,6402.078863005267,0.8753571255705904
BEN.10.6.4_1,4183.379474982688,324.8718065806154,5180.615302585047,0.870215412310919
BEN.10.6.5_1,1918.3482949421686,150.44561187666702,2383.1414811092627,0.8680952948944894
BEN.10.7.1_1,7675.96365506634,477.27630551674173,9546.089548807806,0.8540921304893191
BEN.10.7.2_1,3705.7988860899186,221.48355130522023,4522.3713637218625,0.868412193854648
BEN.10.7.3_1,8163.23025636013,512.369549042161,10081.680871098066,0.8605310876555619
BEN.10.7.4_1,3003.1159291776517,206.8706063581931,3754.7340005710057,0.8549171619208397
BEN.10.7.5_1,2311.7445278221494,143.85413513477963,2876.643535372527,0.8536332822477872
BEN.10.7.6_1,11099.537135073006,691.9849507993772,13812.970659409028,0.853655768669885
BEN.10.7.7_1,1291.88191902571,110.03250306725741,1633.902395447387,0.85801601490957
BEN.10.8.1_1,26573.01324422967,2315.6340309775933,41812.7587408712,0.6909050764681821
BEN.10.8.2_1,9144.777136702633,805.1162480689147,14474.412449034759,0.6874125923802223
BEN.10.8.3_1,7154.734348716921,629.9106902350981,11324.559840105325,0.6874125925303616
BEN.10.8.4_1,28600.433916707832,2102.4491886158557,40559.7258677245,0.7569795517221575
BEN.10.8.5_1,33048.06927269808,2176.2608846991698,44094.075959481335,0.7988449557207046
BEN.10.9.1_1,19987.379060729396,806.6843875041105,27599.843901954144,0.7534123570445712
BEN.10.9.2_1,8715.207422528245,439.14252527771316,11681.510005368626,0.783661525230794
BEN.10.9.3_1,26242.44305033689,1822.1046543273603,39647.85788116725,0.707845245732555
BEN.10.9.4_1,35273.246378307595,1422.8514251873314,48591.22922933518,0.7552000306537008
BEN.10.9.5_1,25882.38554559601,1047.6658479800108,36204.932814998596,0.743822714191579
BEN.10.9.6_1,33044.940139235536,1707.3069668075996,46655.25575349054,0.7448731454750009
