GID_3,primary_school_age_girl_BEN_2020,secondary_school_age_girl_BEN_2020
BEN.4.8.6_1,3797.1432016316576,3090.6928264379494
BEN.4.8.7_1,5710.034862351418,4686.9321051027255
BEN.5.1.1_1,993.833030646455,971.3098856949334
BEN.5.1.2_1,727.5096255391251,711.8443477434273
BEN.5.1.3_1,1037.54230855493,1012.8478515704473
BEN.5.1.4_1,607.1121906280517,593.1708608066333
BEN.5.1.5_1,985.6273992257959,959.9765078731609
BEN.5.1.6_1,1571.535692618408,1532.993912784259
BEN.5.1.7_1,516.2560564078534,504.40108431647815
BEN.5.1.8_1,1705.6315395046684,1665.9756065036743
BEN.5.1.9_1,1401.1863919636776,1354.9998644277168
BEN.5.2.1_1,875.5464024426892,813.1749484814848
BEN.5.2.2_1,338.5776916186014,313.8134835748112
BEN.5.2.3_1,788.3396708002279,730.6790396615569
BEN.5.2.4_1,497.12296860451795,460.76246328727876
BEN.5.2.5_1,843.8257874956315,790.0566950143551
BEN.5.2.6_1,641.5191313355574,594.3865270521127
BEN.5.2.7_1,554.70865148937,527.6401012794646
BEN.5.2.8_1,3103.853694660055,2878.876010756867
BEN.5.2.9_1,1098.2079760916092,1017.9245177455978
BEN.5.2.10_1,452.9398211610084,419.8109578946055
BEN.5.3.1_1,2446.734987618409,2487.1875347628325
BEN.5.3.2_1,1923.8320306254368,1960.706219157985
BEN.5.3.3_1,874.7011142768109,892.9365563149545
BEN.5.3.4_1,513.3078121783687,523.1564275741579
BEN.5.3.5_1,729.6525161275674,744.810002255907
BEN.5.3.6_1,647.3623658946916,660.8583190637477
BEN.5.3.7_1,884.1520597027801,901.9922675151449
BEN.5.3.8_1,349.32529631035004,355.91839635699404
BEN.5.3.9_1,1975.096603071924,2011.7490763542698
BEN.5.3.10_1,647.6956262102316,661.1958761252608
BEN.5.4.1_1,2032.3233261033602,1990.3388471187334
BEN.5.4.2_1,2088.062148047428,2044.2521397249384
BEN.5.4.3_1,1787.8434088468548,1748.8532908916459
BEN.5.4.4_1,807.6054631186465,790.6057074041926
BEN.5.4.5_1,1643.7974548737216,1609.265413331518
BEN.5.4.6_1,330.8972453005173,323.93200048932846
BEN.5.4.7_1,211.94054096446317,207.47928498212028
BEN.5.4.8_1,739.7440712003149,724.1727748478158
BEN.5.4.9_1,3167.7189579122214,3100.6172479302277
BEN.5.5.1_1,1633.8085967839936,1470.4862152085577
BEN.5.5.2_1,1956.4674083003808,1761.1403647553677
BEN.5.5.3_1,694.4195962947956,626.4875765819172
BEN.5.5.4_1,913.7244768699007,826.1369206648246
BEN.5.5.5_1,874.0551079058181,808.2830541339576
BEN.5.5.6_1,215.42940784622638,193.91393075176313
BEN.5.5.7_1,1011.5905593320435,911.6378927913369
BEN.5.5.8_1,298.5422779101952,271.3156470205269
BEN.5.5.9_1,874.6463431994116,793.9073575964163
BEN.5.5.10_1,976.471255010717,878.9486072512232
BEN.5.5.11_1,958.4485815207165,862.7259001077392
BEN.5.5.12_1,1097.025857680452,987.4631234585071
BEN.5.5.13_1,465.556240898955,419.0599605728598
BEN.5.5.14_1,1577.1609690007044,1419.6459343550243
BEN.5.6.1_1,197.77752151863245,194.40134566624957
BEN.5.6.2_1,1206.9198281559288,1185.8523204251826
BEN.5.6.3_1,178.7063933372498,175.65577050751327
BEN.5.6.4_1,1324.7060409150874,1302.5907658167912
BEN.5.6.5_1,1490.9099287547315,1469.3298155616308
BEN.5.6.6_1,808.9506651438918,795.582864671595
BEN.5.6.7_1,239.2531743909798,235.16898316402066
BEN.5.6.8_1,1469.9528194390089,1444.6067231225038
BEN.6.1.1_1,1305.3963476536321,1084.2044815086854
BEN.6.1.2_1,4565.906220587094,3789.3096131191573
BEN.6.1.3_1,5280.444109445462,4367.430545324203
BEN.6.1.4_1,3189.969200296962,2647.4019946778544
BEN.6.2.1_1,746.0606430053712,594.4440801377391
BEN.6.2.2_1,2231.270402835397,1767.6705597826078
BEN.6.2.3_1,1515.1141168369961,1225.0583197070107
BEN.6.2.4_1,1907.473069287282,1508.665123300927
BEN.6.5.1_1,1173.5917868782494,990.5569964773515
BEN.6.5.2_1,4126.943205768922,3483.27135448082
BEN.6.5.3_1,613.9981830466027,518.2325348769918
BEN.6.5.4_1,1056.8489470668874,891.6295816141015
BEN.6.5.5_1,3771.924560590819,3183.5880000207944
BEN.6.5.6_1,2456.741732440276,2072.9046981414162
BEN.6.5.7_1,3255.0332106739847,2747.6133100177726
BEN.6.5.8_1,1888.1563491129402,1593.8299359826485
BEN.6.5.9_1,1718.818260899712,1450.7331939229775
BEN.6.6.1_1,1096.216232028662,925.2387702867097
BEN.6.6.2_1,1655.0722140985374,1396.9296756931376
BEN.6.6.3_1,920.1663492464555,776.6474890409735
BEN.6.4.1_1,1433.9184543647018,1276.9670742876394
BEN.6.4.2_1,1395.039023651796,1251.5647398649476
BEN.6.4.3_1,1111.6673643056083,995.9848851858402
BEN.6.4.4_1,1950.3723877831987,1746.287592884138
BEN.6.4.5_1,1149.220931036332,1029.059455031507
BEN.6.4.6_1,637.6813971725165,563.5332720176846
BEN.7.1.1_1,3370.849532602348,2921.6677495432837
BEN.7.1.2_1,3300.939980313357,2859.450512150222
BEN.7.1.3_1,1818.5153806200212,1575.2981005799538
BEN.7.1.4_1,3249.122923035715,2814.6627320383104
BEN.7.1.5_1,1620.5273255142508,1403.9078743504544
BEN.7.1.6_1,1846.5039090399648,1600.5436765072393
BEN.7.1.7_1,2116.5132433105923,1833.432745821336
BEN.7.2.1_1,2018.3547104854208,1807.4391244626513
BEN.7.2.2_1,581.3693454144047,512.1593877006981
BEN.7.2.3_1,1811.368986825382,1621.8357250138827
BEN.7.2.4_1,1153.0305608113606,1025.1885652130725
BEN.7.2.5_1,1608.3297420950496,1449.0718844095866
BEN.7.2.6_1,1598.6845804326674,1412.536413349825
BEN.7.2.7_1,1143.5604524201037,1018.4962897356818
BEN.7.2.8_1,1564.971887895173,1384.4818579580267
BEN.7.2.9_1,1068.1605343463373,956.723478081647
BEN.7.2.10_1,2742.397901123646,2440.498097236484
BEN.9.6.1_1,2103.65222232856,2062.367863982332
BEN.9.6.2_1,2644.587117580339,2581.912105092816
BEN.9.6.3_1,564.2710543539009,568.5554613300397
BEN.9.6.4_1,1030.41198275136,1038.0540705475153
BEN.9.6.5_1,1182.2207579033043,1095.7354023017133
BEN.9.6.6_1,1920.881517679551,1926.4358130660708
BEN.9.6.7_1,1464.749831225825,1409.440111055561
BEN.7.4.1_1,2165.918286222569,1886.955326271057
BEN.7.4.2_1,1661.7053573944988,1441.0051539177982
BEN.7.4.3_1,929.5021289152257,809.8913430157828
BEN.7.4.4_1,2087.8751064076146,1819.1925720065246
BEN.7.4.5_1,543.8367313983393,473.8543853236179
BEN.7.4.6_1,1147.9543410357312,1000.2325605579449
BEN.7.4.7_1,2098.065141477771,1832.421749524509
BEN.7.4.8_1,1118.9807677923461,974.0237228991938
BEN.7.5.1_1,1322.8472760331397,1115.6165458305206
BEN.7.5.2_1,932.2602399788652,791.2427116020052
BEN.7.5.3_1,1056.1273968939688,890.6676366619035
BEN.7.5.4_1,788.257788848877,667.1457457748114
BEN.7.5.5_1,898.1919135822969,757.5069841048296
BEN.7.5.6_1,3191.9292431176873,2691.860927836101
BEN.7.5.7_1,1741.6562066171682,1472.3418666615207
BEN.7.5.8_1,1140.8407808790018,969.4459869160371
BEN.7.5.9_1,890.6923446337379,754.8330592566845
BEN.7.5.10_1,573.7692919955533,484.51758059333366
BEN.7.5.11_1,337.96992722305606,286.2997946159513
BEN.7.6.1_1,702.5782048842487,612.5239049574907
BEN.7.6.2_1,656.36688598932,569.5309704051298
BEN.7.6.3_1,1204.9040840597713,1047.8206464730056
BEN.7.6.4_1,1047.3811500250124,911.122055532418
BEN.7.6.5_1,1055.468284307742,916.3682054183063
BEN.7.6.6_1,1156.9674380134134,1006.1335109037512
BEN.7.6.7_1,2789.7591696645704,2426.0488106073117
BEN.8.1.1_1,3800.981546768488,3948.772521508908
BEN.8.1.2_1,2099.5096680884267,2159.6411379346664
BEN.8.1.3_1,2709.713748228784,2977.849913354013
BEN.8.1.4_1,6654.531197940602,7312.618960750805
BEN.8.1.5_1,4985.772414981618,5437.672305836397
BEN.8.1.6_1,1989.2739446789612,1992.066924349467
BEN.8.1.7_1,2942.923932221357,3041.0520961836273
BEN.8.1.8_1,2974.7151688444847,3269.0741176979213
BEN.8.1.9_1,2974.7219568663954,3269.0815809511673
BEN.8.1.10_1,3736.57731778762,3828.354288138595
BEN.8.1.11_1,2425.5368010876227,2665.5526113472733
BEN.8.1.12_1,2324.586755849801,2503.0102785596664
BEN.8.1.13_1,3163.880409057468,2953.6084767902603
BEN.9.1.1_1,1581.1617842412459,1503.9044156616808
BEN.9.1.2_1,1433.2444496902767,1366.869622174431
BEN.9.1.3_1,558.9144491831462,532.7768995733823
BEN.9.1.4_1,875.7383172091314,830.176153130625
BEN.9.2.1_1,1125.373747144961,955.5739672716926
BEN.9.2.2_1,1106.4538653485915,944.8924291741616
BEN.9.2.3_1,1771.5125738330914,1500.4569178487739
BEN.9.2.4_1,782.0629658081954,685.8916166081148
